妮 |  | ni1 | Anne | Anne | woman, nun
莎 |  | sha1 | Shakespeare | Shakespeare | flower, sand
婊 |  | biao3 | whore | puttana | woman, surface
拯 |  | zheng3 | save (v) | salvare | fingers, -ed, water, floor
嘘 | 噓 | xu1 | shhh (silence) | shhh (silenzio) | mouth, false
矶 | 磯 | ji1 | Angeles | Angeles | stone, wind/small table
匹 | 疋 | pi3 | equine | equino | box, human legs
账 | 賬 | zhang4 | bill (n) | conto | shellfish, long
妞 |  | niu1 | girl | ragazza | woman, clown
鲍 | 鮑 | bao4 | Bob | Bob | fish, wrap
咯 |  | ka3 | mh (obvious) | mh (ovvio) | mouth, each
咪 |  | mi1 | kitty | micio | mouth, rice
坞 |  | wu4 | dock | molo | soil, crow
嫉 |  | ji2 | jealousy | gelosia | woman, rapid
唔 |  | wu2 | mmm (mumble) | mmm (borbottare) | mouth, I (literary)
沮 |  | ju3 | prevent from | prevenire da | water, shelves
肮 |  | ang1 | unclean | non pulito | flesh/moon/month, whirlwind
恤 | 賉 | xu4 | sympathize | simpatizzare | state of mind, blood
臀 |  | tun2 | buttocks | sedere | ceremonial hall, flesh/moon/month
橙 |  | cheng2 | orange | arancia | tree, ascend
卦 |  | gua4 | divinatory symbols | simboli divinatori | bricks, magic wand
镑 | 鎊 | bang4 | pound (n) (money) | sterlina | gold/metal, magellan
飙 | 飆 | biao1 | whirlwind | turbine | chihuahua, windstorm
伽 |  | jia1 | yoga (back end) | yoga (dietro) | person, add
诀 |  | jue2 | rhymed formula | formula in rima | words, guillotine
蹭 |  | ceng4 | stroke (v) | strigliare | wooden leg, increase
瑜 |  | yu2 | yoga (front end) | yoga (davanti) | jewel/ball, slaughterhouse
濒 | 瀕 | bin1 | on the brink of | quasi per | water, repeatedly
吱 |  | zhi1 | creaking | scricchiolio | mouth, branch
锚 |  | mao2 | anchor | ancora | gold/metal, tomato seedling
浏 |  | liu2 | crystalline | cristallino | water, taskmaster, sword
唧 |  | ji1 | chirping of insects | rumore di insetti | mouth, immediately
遛 |  | liu4 | saunter (v) | passeggiare | road, stay
猥 |  | wei3 wei4 | obscene | osceno | pack of wild dogs, be afraid of
鹦 | 鸚 | ying1 | parrot (front end) | pappagallo (davanti) | baby, bird
鹉 | 鵡 | wu3 | parrot (back end) | pappagallo (dietro) | military, bird
迭 |  | die2 | alternate (v) | alternare | lose, road
赘 |  | zhui4 | burdensome | gravoso | soil, release, shell
捂 |  | wu3 | gag | imbavagliare | fingers, I (literary)
拎 |  | lin1 ling1 | lift | alzare | fingers, orders
咀 |  | ju3 | masticate | masticando | mouth, shelves
澈 |  | che4 | limpid | limpido | water, education, taskmaster
狒 |  | fei4 | baboon | babbuino | pack of wild dogs, dollar sign
仕 |  | shi4 | be an official | essere un ufficiale | person, soldier
肴 |  | yao2 | cooked dish | piatto cucinato | sheaf, possess
惮 | 憚 | dan4 | phobia | fobia | state of mind, list
咩 |  | mie1 | bleating | belare | mouth, sheep
洼 |  | wa1 | low-lying area | zona depressa | water, bricks
怦 |  | peng1 | thumping sound | colpo sordo | state of mind, water lily
珂 |  | ke1 | jade-like stone | pietra simile alla giada | jewel/ball, can
杭 |  | hang2 | Hang | Hang | tree, whirlwind
曦 |  | xi1 | sunlight | luce solare | day/sun, sheep, wild rice, snare, fiesta
梓 |  | zi3 | Catalpa | Catalpa | tree, chili pepper
粽 | 糉 | zong4 | zongzi | zongzi | rice, religion
麓 |  | lu4 | foothills | pendici | woods, deer
阜 |  | fu4 | Qufu | Qufu | maestro, ten/needle
袈 |  | jia1 | monk's robe (front end) | tonaca da monaco (davanti) | add, clothes
裟 |  | sha1 | monk's robe (back end) | tonaca da monaco (dietro) | sand, clothes
圳 |  | zhen4 | ditch between fields | fosso fra i campi | soil, stream
