一		1	1	One	yi1
二		2	2	Two	er4
三		3	3	Three	san1
四		4	4	Four	si4
五		5	5	Five	wu3
六		6	6	Six	liu4
七		7	7	Seven	qi1
八		8	8	Eight	ba1
九		9	9	Nine	jiu3
十		10	10	Ten	shi2
口		11	11	Mouth	kou3
日		12	12	Day	ri4
月		13	13	Month	yue4
田		14	14	Rice Field	tian2
目		15	15	Eye	mu4
古		16	16	Ancient	gu3
胡		17	17	Recklessly	hu2
叶	葉	18	18	Leaf	ye4
吾		19	19	I (literary)	wu2
朋		20	20	Companion	peng2
明		21	21	Bright	ming2
品		22	22	Goods	pin3
晶		23	23	Sparkling	jing1
昌		24	24	Prosperous	chang1
唱		25	25	Sing	chang4
早		26	26	Early	zao3
旭		27	27	Rising Sun	xu4
世		28	28	Generation	shi4
胃		29	29	Stomach	wei4
旦		30	30	Daybreak	dan4
凹		31	31	Concave	ao1
凸		32	32	Convex	tu1
p.⼂		v1p31	33	p.A drop of	
p.丨		v1p32	34	p.Walking stick	
自		33	35	Oneself	zi4
白		34	36	White	bai2
百		35	37	Hundred	bai3
皂		36	38	Soap	zao4
旧	舊	37	39	Old	jiu4
中		38	40	Middle	zhong1
千		39	41	Thousand	qian1
舌		40	42	Tongue	she2
升		41	43	Liter	sheng1
丸		42	44	Pill	wan2
卜		43	45	Divination	bu3
占		44	46	Tell Fortunes	zhan1
上		45	47	Above	shang4
下		46	48	Below	xia4
卡		47	49	Card	ka3
卓		48	50	Eminent	zhuo2
p.		v1p37	51	p.Mist	
朝		49	52	Dynasty	chao2
嘲		50	53	Ridicule (v.)	chao2
p.		v1p39-1	54	p.Animal legs	
p.勹		v1p39-2	55	p.Bound up	
p.丷		v1p40	56	p.Horns	
只		51	57	Only	zhi3
贝	貝	52	58	Shellfish	bei4
贴	貼	53	59	Paste (v.)	tie1
贞	貞	54	60	Chaste	zhen1
员	員	55	61	Employee	yuan2
儿	兒	56	62	Youngster	er2
几	幾	57	63	How many?	ji3
见	見	58	64	See	jian4
元		59	65	Beginning	yuan2
页	頁	60	66	Page	ye4
顽	頑	61	67	Stubborn	wan2
凡		62	68	Ordinary	fan2
肌		63	69	Muscle	ji1
负	負	64	70	Defeated	fu4
万	萬	65	71	Ten Thousand	wan4
匀	勻	66	72	Uniform (adj.)	yun2
句		67	73	Sentence	ju4
旬		68	74	Decameron	xun2
勺		69	75	Ladle	shao2
的		70	76	Bull’s Eye	de5
首		71	77	Heads	shou3
直		72	78	Straight	zhi2
置		73	79	Set Up	zhi4
p.		v1p49	80	p.Tool	
具		74	81	Tool	ju4
真		75	82	True	zhen1
p.		v1p50	83	p.By one's side	
工		76	84	Work (n.)	gong1
